,CG1,CG2,CG3,CG4,CG5,CG6,CG7,CG8,CG9,CG10,CG11
CANX,0,0,45,0,0,14,47,0,0,0,17
CAP1,0,4,15,0,11,10,19,0,0,3,20
CAPG,4,8,50,0,8,7,28,6,0,6,7
CAPN1,0,3,71,0,0,12,35,0,0,11,14
CAPN2,0,0,14,0,0,2,0,0,0,0,2
CAPNS1,0,0,1,0,0,0,0,0,0,0,0
CAPNS2,0,0,17,0,0,0,0,0,0,0,0
CAPZA1,0,0,13,0,0,4,6,0,0,1,5
CAPZA2,0,0,0,0,0,5,3,0,0,0,0
CAPZB,0,0,28,0,4,6,34,0,0,0,9
CAST,0,1,36,0,2,0,5,0,0,0,7
CAT,0,0,33,0,3,12,72,0,0,0,15
CBLB,0,0,0,0,0,0,2,0,0,0,0
CBLL2,0,0,0,5,0,0,0,4,0,0,0
CBR1,0,0,49,0,0,8,6,0,0,0,26
CCDC88C,0,0,0,0,0,0,0,2,0,0,0
CCL28,5,0,0,3,3,0,0,7,15,3,0
CCT2,0,0,5,0,0,3,0,0,0,0,0
CCT3,0,0,8,0,0,0,0,0,0,0,5
CCT4,0,0,4,0,0,0,0,0,0,0,0
CCT6A,0,0,3,0,0,0,0,0,0,0,0
CCT7,0,0,3,0,0,4,4,0,0,0,0
CCT8,0,0,21,0,0,0,8,0,0,0,0
CD14,12,8,0,5,8,0,0,0,20,10,0
CD177,0,0,0,0,0,0,7,0,0,0,0
CD47,0,0,4,0,0,0,0,0,0,0,0
CD55,3,0,7,0,5,0,0,0,0,0,5
CD63,0,3,6,0,4,0,6,0,0,3,4
CD9,0,0,26,0,13,6,11,3,0,9,7
CDA,0,0,0,0,0,0,5,0,0,0,0
CDC42,2,7,25,0,0,3,8,0,0,3,10
CDH1,4,4,16,3,3,3,2,4,0,6,0
CEACAM1,0,0,1,0,0,3,0,0,0,0,5
CEACAM5,0,15,27,0,0,5,0,0,0,5,13
CEACAM6,0,0,9,0,0,0,7,0,0,0,1
CEACAM8,0,9,12,0,0,11,23,0,0,0,8
CES1,0,0,6,0,2,0,0,0,0,0,0
CES2,0,4,16,0,0,0,0,0,0,0,0
CFH,0,4,55,0,0,10,33,0,0,7,19
CFHR1,0,0,4,0,0,0,0,0,0,0,0
CFL1,16,14,55,0,36,18,42,7,0,9,31
CHAD,3,14,0,7,2,0,3,3,0,26,0
CHI3L1,0,0,0,0,0,0,3,0,0,0,0
CHI3L2,0,0,0,0,7,0,0,0,2,0,0
CHIT1,0,0,0,0,0,0,10,0,0,0,0
CHMP4A,0,0,1,0,0,0,0,0,0,0,0
CKAP4,0,0,18,0,0,2,0,0,0,0,5
CKMT1A,0,0,27,0,0,4,8,0,0,0,17
CLCA4,0,0,26,0,0,0,0,0,0,0,6
CLIC1,0,0,13,0,0,6,12,0,0,0,10
CLIC3,0,0,3,0,0,0,0,0,0,0,0
CLTB,0,0,6,0,0,3,0,0,0,0,0
CLTC,0,0,72,0,0,3,10,0,0,0,17
CLU,12,20,4,24,30,3,8,25,22,56,11
CNDP2,0,0,4,0,0,0,0,0,0,0,0
CNFN,0,0,5,0,0,0,0,0,0,0,0
COL11A2,8,5,0,5,6,5,0,0,18,6,4
COL14A1,6,0,0,0,0,0,0,0,20,0,0
COL1A1,0,22,0,0,12,22,0,18,8,30,38
COL5A2,7,0,0,0,0,0,0,0,0,0,0
COL6A1,5,7,0,3,2,0,0,9,7,8,2
COL6A2,0,0,0,0,0,0,0,5,0,0,0
COL6A3,0,0,0,0,2,0,0,0,0,0,0
COPA,0,0,4,0,0,0,0,0,0,0,0
CORO1A,10,8,42,0,28,12,54,10,3,9,15
CORO1C,1,0,4,0,0,0,3,2,0,0,6
COTL1,0,0,6,0,0,2,4,0,0,0,2
COX4I1,0,0,16,0,0,0,0,0,0,0,0
COX6C,0,0,9,0,0,0,0,0,0,0,0
CP,0,32,53,8,7,21,29,0,2,32,25
CPD,4,0,0,0,0,0,0,0,2,4,0
CPE,17,30,0,18,37,0,0,0,27,56,0
CPNE3,0,0,18,0,0,0,3,0,0,0,0
CPPED1,0,0,0,0,0,0,6,0,0,0,3
CRABP2,0,0,21,0,0,5,0,0,0,0,1
CRISP3,152,46,55,174,203,28,120,134,219,101,21
CRNN,26,83,315,7,51,99,210,23,15,58,174
CRYAB,0,0,39,0,0,0,3,0,0,0,0
CS,0,0,10,0,0,0,0,0,0,0,0
CST1,1255,946,312,1678,1330,271,694,869,2854,665,230
CST2,102,118,23,121,111,33,59,52,296,69,32
CST3,64,37,74,70,134,22,46,47,144,57,30
CST4,135,82,39,180,113,31,54,76,260,89,17
CST5,98,160,45,199,230,106,137,52,246,205,117
CSTA,13,27,39,4,41,32,24,13,10,34,58
CSTB,16,71,210,32,142,57,103,31,44,75,129
CSTF2,0,0,0,0,0,0,0,0,0,0,5
CTNNA1,0,0,6,0,0,0,0,0,0,0,4
CTNNB1,0,0,1,0,0,0,0,0,0,0,0
CTNND1,0,0,4,0,0,0,0,0,0,0,3
CTSB,4,4,15,0,16,0,2,6,24,13,0
CTSC,0,0,2,0,0,0,0,2,0,5,0
CTSG,20,49,109,5,111,110,295,44,6,32,95
CTSH,4,0,0,0,0,0,0,0,0,0,0
CTSL,1,1,0,0,3,0,0,0,0,10,0
CTSZ,5,3,0,0,5,2,5,2,12,3,0
CTTN,0,0,0,0,0,0,2,0,0,0,0
CXCL17,3,0,0,0,0,0,0,0,0,6,0
CXCL5,0,0,0,5,0,0,0,0,0,2,0
CYBA,0,0,5,0,0,5,15,0,0,0,0
CYBB,4,0,10,0,16,0,10,12,0,0,0
CYFIP1,0,0,4,0,0,0,0,0,0,0,0
CYRIB,0,0,3,0,0,0,0,0,0,0,0
DAG1,0,0,0,0,2,0,0,2,2,4,0
DBI,0,0,12,0,0,4,0,0,0,0,4
DBNL,0,0,0,0,0,0,3,0,0,0,0
DCTN2,0,0,4,0,0,0,0,0,0,0,0
DDOST,0,0,6,0,0,0,0,0,0,0,0
DDT,0,0,12,0,0,0,15,0,0,0,0
DDX3X,0,0,3,0,0,0,3,0,0,0,0
DECR1,0,0,3,0,0,0,0,0,0,0,0
DEFA1,0,0,0,0,0,0,1,0,0,0,0
DEFA3,0,8,82,4,35,23,175,8,5,13,38
DENND2C,0,0,0,0,0,0,2,0,0,0,0
DES,1,0,0,0,0,0,0,0,0,0,0
DLGAP3,2,0,0,0,0,0,0,0,0,0,0
DMBT1,163,396,160,466,827,251,829,362,508,585,351
DNAJB1,0,0,15,0,0,0,13,0,0,0,0
DNAJC3,0,2,0,3,6,0,0,0,6,0,0
DNER,2,0,0,3,0,0,0,4,0,0,0
DNM1,0,0,3,0,0,0,2,0,0,0,0
DNM2,0,0,0,0,0,0,1,0,0,0,0
DPP4,13,4,0,3,14,0,0,7,8,7,0
DSC2,0,10,84,0,22,0,28,8,0,9,10
DSC3,0,0,1,0,0,0,2,0,0,0,0
DSG1,0,6,20,0,8,3,7,3,4,14,11
DSG3,0,7,27,0,3,4,6,0,3,13,7
DSP,0,2,275,3,2,163,295,0,0,5,248
DSTN,0,0,10,0,0,0,7,0,0,0,6
DYNC1H1,0,0,30,0,0,0,0,0,0,0,0
E9PNW4,7,3,25,0,12,4,22,5,5,16,7
EBP,0,0,3,0,0,0,0,0,0,0,0
ECHS1,0,0,3,0,0,0,0,0,0,0,0
ECM1,0,6,71,0,4,15,29,7,0,7,22
EEF1A2,2,11,172,0,3,23,57,2,0,7,59
EEF1D,0,0,15,0,0,0,0,0,0,0,0
EEF1G,0,0,26,0,0,0,8,0,0,0,15
EEF2,0,0,86,0,0,7,22,0,0,2,21
EFCAB5,0,0,2,0,0,0,0,0,0,0,0
EFHD2,0,0,0,0,0,0,7,0,0,0,0
EFTUD2,0,0,1,0,0,0,0,0,0,0,0
EHD1,0,0,8,0,0,3,5,0,0,0,5
EIF3B,0,0,3,0,0,0,0,0,0,0,0
EIF3H,0,0,5,0,0,0,0,0,0,0,0
EIF4A3,0,0,8,0,0,0,0,0,0,0,0
EIF4B,0,0,0,0,0,0,2,0,0,0,2
EIF5A,0,0,33,0,0,10,0,0,0,0,14
ELANE,8,35,91,7,37,79,259,23,4,27,112
ENDOU,0,8,29,3,2,8,5,0,0,8,5
ENO1,16,22,88,5,60,16,53,15,12,19,35
EPHX1,0,0,4,0,0,0,0,0,0,0,0
EPPK1,0,0,1,0,0,0,0,0,0,0,0
EPRS1,0,0,0,0,0,0,0,0,0,0,2
EPS8L2,0,0,0,0,0,0,4,0,0,0,0
EPX,0,0,1,0,0,0,1,0,0,0,0
ERLIN1,0,0,3,0,0,0,0,0,0,0,4
ERO1A,0,25,118,0,0,39,40,0,0,13,68
ERP29,0,0,2,0,2,0,0,0,0,0,0
ETFA,0,0,2,0,0,0,0,0,0,0,0
EVPL,0,4,250,0,4,54,170,0,0,8,80
F11R,0,0,9,0,0,0,0,0,0,0,0
F5,0,0,0,0,0,0,0,0,0,4,0
F5H423,0,0,8,0,0,0,0,0,0,0,0
FABP5,14,30,150,11,51,41,41,33,10,75,126
FAM25A,0,0,23,0,0,0,0,6,0,16,17
FAM3B,7,5,0,4,4,0,0,3,8,5,0
FAM3D,5,10,4,0,0,0,0,0,11,11,0
FASN,0,0,8,0,0,0,0,0,0,0,0
FCGBP,90,20,39,93,370,12,503,17,54,34,5
FCGR3A,0,4,0,0,0,0,0,0,0,0,0
FCN1,2,0,38,0,0,3,8,0,0,0,3
FCN3,0,0,0,2,0,4,0,0,0,0,0
FERMT3,0,0,3,0,0,0,7,0,0,0,3
FGA,0,9,23,0,6,0,22,3,0,7,7
FGB,13,9,102,0,15,18,94,6,0,35,34
FGG,3,38,195,0,23,33,79,8,7,52,39
FKBP1A,0,3,0,0,0,0,0,0,0,0,0
FLG,8,30,65,0,12,13,101,33,23,58,66
FLG2,0,0,0,0,0,0,5,4,0,0,0
FLII,0,0,0,0,0,0,5,0,0,0,0
FLNA,9,1,56,0,10,8,63,7,0,0,8
FLNB,0,0,1,0,0,0,1,0,0,0,0
FN1,0,0,14,0,0,0,2,0,0,0,0
FOLR1,0,0,0,0,6,0,0,0,0,6,0
FOLR3,0,0,0,0,0,0,43,0,0,0,0
FURIN,0,0,0,0,0,0,0,0,5,0,0
FUT6,0,5,9,0,0,0,0,0,0,6,0
G6PD,0,4,32,0,0,10,12,0,0,0,8
GALNT6,2,0,0,0,0,0,0,0,0,0,0
GANAB,3,0,4,0,0,0,0,0,0,0,0
GAPDH,28,98,219,30,117,52,135,33,35,69,81
GBP6,0,0,142,0,4,25,15,0,0,5,32
GC,12,12,68,4,18,14,30,9,0,15,21
GCA,0,0,20,0,0,0,0,0,2,0,0
GCNT3,0,0,0,0,4,0,0,0,2,0,0
GDI1,0,0,0,0,0,0,1,0,0,0,0
GDI2,0,0,38,0,0,0,10,0,0,0,4
GLG1,0,0,0,0,3,0,0,3,2,8,0
GLO1,0,0,4,0,0,0,0,0,0,0,0
GLTP,0,0,12,0,0,0,0,0,0,0,0
GLUD2,0,0,4,0,0,0,0,0,0,0,0
GLUL,0,0,11,0,0,0,7,0,0,0,27
GM2A,0,0,9,0,0,0,0,0,0,0,0
GMFG,0,0,0,0,0,0,6,0,0,0,0
GNAI2,0,2,10,0,2,0,14,0,0,0,0
GNAI3,0,0,1,0,0,0,0,0,0,0,0
GNAL,0,0,1,0,0,0,0,0,0,0,0
GNAS,8,0,0,0,3,0,0,3,3,0,0
GNB1,0,0,0,0,0,1,0,0,0,0,0
GNB4,4,0,6,0,9,2,10,3,0,0,0
GOLM1,11,22,6,8,10,0,0,6,11,55,0
GOT1,0,0,2,0,0,0,0,0,0,0,0
GOT2,0,0,9,0,0,0,0,0,0,0,0
GPI,3,8,36,0,8,3,19,7,0,5,13
GPX3,0,0,5,0,0,0,0,0,0,0,0
GPX4,0,0,0,0,0,0,2,0,0,0,0
GRN,12,0,17,3,48,0,43,17,24,9,4
GSN,19,28,91,0,41,20,43,17,10,31,18
GSTO1,0,0,10,0,0,0,0,0,0,0,0
GSTP1,0,57,102,8,36,24,54,10,7,40,37
H1-0,6,10,37,0,12,20,17,8,0,4,19
H1-1,0,0,1,0,0,0,0,0,0,0,0
H1-10,0,0,2,0,0,0,11,0,0,0,0
H1-2,0,0,0,0,1,0,6,1,0,0,1
H1-4,8,3,72,0,22,29,83,3,0,10,24
H1-5,0,10,50,0,18,24,42,2,0,0,21
H2AC21,0,0,1,0,1,0,0,0,0,0,0
H2AZ1,0,31,92,11,27,23,60,0,18,17,46
H2BC19P,38,57,153,20,79,85,150,53,21,47,92
H3-2,17,13,77,0,40,18,47,21,13,12,35
H3-4,0,0,0,0,1,0,4,1,0,0,0
H3BN98,0,0,13,0,0,0,0,0,0,0,0
H3BNC9,0,0,10,0,0,0,0,0,0,0,0
H4C1,57,75,237,19,118,31,131,43,42,64,36
HADHA,0,0,23,0,0,0,0,0,0,0,0
HADHB,0,0,33,0,0,0,0,0,0,0,0
HBA1,0,0,42,0,0,0,28,0,0,0,42
HBB,0,7,62,0,0,0,39,0,0,0,88
HBD,0,0,0,0,0,0,0,0,0,0,3
HDGF,0,2,2,0,0,5,3,0,0,0,5
HEXA,0,0,0,0,0,0,0,0,6,0,0
HEXB,0,0,0,0,0,0,0,0,3,0,0
HK1,0,0,24,0,0,0,4,0,0,0,2
HK3,0,0,3,0,0,0,5,0,0,0,2
HLA-E,0,0,0,0,0,0,0,0,0,0,1
HLA-H,0,0,0,0,0,0,0,0,0,0,2
HMGB1,0,0,8,0,0,10,29,0,0,0,8
HMGB2,4,0,38,0,12,26,128,0,0,0,26
HMGN1,0,4,0,0,0,2,4,2,3,0,0
HMGN2,0,7,13,0,9,6,29,6,2,5,16
HNRNPA1,0,0,1,0,0,0,0,0,0,0,0
HNRNPA1L2,0,0,8,0,0,0,2,0,0,0,0
HNRNPA2B1,2,0,12,0,3,0,9,2,0,0,6
HNRNPA3,0,0,0,0,0,0,3,0,0,0,3
HNRNPC,0,0,7,0,0,3,0,0,0,0,6
HNRNPD,0,0,4,0,0,0,0,0,0,0,0
HNRNPH1,0,0,3,0,0,0,2,0,0,0,2
HNRNPH2,0,0,0,0,0,0,0,0,0,0,1
HNRNPK,0,0,7,0,0,0,8,0,0,0,0
HNRNPM,2,0,9,0,0,4,6,0,0,0,6
HNRNPU,0,0,22,0,0,3,19,0,0,0,9
HP,21,32,114,0,50,10,38,11,13,74,14
HP1BP3,0,0,0,0,0,0,8,0,0,0,0
HPX,3,27,95,2,17,14,20,4,0,50,7
HRG,0,0,11,0,0,0,5,0,0,0,0
HRNR,19,21,19,8,31,0,12,37,30,27,17
HSD17B4,0,0,6,0,0,0,0,0,0,0,0
HSP90AA1,0,0,15,0,1,5,20,1,0,0,11
HSP90AB1,0,5,71,0,9,17,59,4,0,2,47
HSP90B1,0,0,26,0,0,13,2,0,0,6,5
HSPA1A,6,35,143,6,25,31,75,18,2,33,49
HSPA2,0,0,1,0,0,0,0,0,0,0,0
HSPA4,0,0,10,0,0,0,0,0,0,0,3
HSPA5,1,15,73,3,8,29,23,4,13,22,35
HSPA8,0,7,73,0,9,11,28,3,0,9,21
HSPA9,0,0,4,0,0,0,0,0,0,0,0
HSPB1,19,57,344,18,94,102,158,24,38,80,147
HSPD1,0,0,19,0,0,0,0,0,0,0,0
HSPG2,7,0,0,0,0,0,0,0,0,0,0
HTN1,7,7,0,14,8,9,0,0,47,11,10
HTN3,0,0,0,0,0,0,0,7,16,0,0
HTRA1,3,0,0,0,6,0,3,4,15,0,0
ICAM3,0,0,0,0,0,0,4,0,0,0,0
IDH1,0,0,6,0,0,0,0,0,0,0,0
IDH2,0,0,10,0,0,0,0,0,0,0,0
IGHA1,1302,1408,1810,1417,2205,732,1619,1334,1837,1660,869
IGHA2,48,48,43,230,247,23,183,179,96,68,18
IGHG1,41,103,270,61,57,142,249,34,73,172,132
IGHG2,0,3,81,0,16,27,73,0,0,36,47
IGHG3,0,14,60,3,8,21,33,1,0,4,19
IGHG4,18,4,22,6,9,5,11,6,4,21,18
IGHM,63,87,220,97,114,90,223,146,156,132,81
IGHV1-2,0,1,1,0,0,0,0,0,3,6,0
IGHV1-3,1,0,0,0,0,0,0,1,0,0,0
IGHV1-46,0,1,1,0,0,0,0,0,3,1,0
IGHV1-69,2,0,1,1,1,0,1,1,0,2,1
IGHV1-8,0,0,1,0,0,0,0,0,0,0,0
IGHV1OR15-1,10,11,14,10,37,8,23,20,30,27,6
IGHV2-70D,1,0,0,0,0,0,0,0,0,0,0
IGHV3-11,7,6,3,7,5,1,7,5,6,4,3
IGHV3-15,7,2,8,0,23,0,3,2,8,2,0
IGHV3-20,3,1,3,0,3,0,2,0,1,0,0
IGHV3-21,0,1,0,0,0,0,0,0,0,0,0
IGHV3-23,0,0,0,0,0,0,0,0,0,1,0
IGHV3-30,172,148,189,143,315,73,164,114,226,196,66
IGHV3-35,8,1,3,0,6,1,2,0,1,1,0
IGHV3-38,0,0,0,0,9,0,0,0,10,0,0
IGHV3-43,0,0,0,0,4,0,0,0,0,1,0
IGHV3-48,0,0,1,0,0,0,0,0,1,0,0
IGHV3-49,2,0,5,0,1,0,4,0,0,3,0
IGHV3-53,0,2,2,3,0,0,0,0,4,0,0
IGHV3-64,0,3,0,0,1,0,0,2,11,4,0
IGHV3-64D,5,2,2,0,6,3,6,0,8,2,1
IGHV3-66,5,19,6,17,11,3,8,15,22,13,4
IGHV3-7,1,3,15,3,11,3,4,3,8,6,1
IGHV3-72,0,0,0,0,0,0,0,1,1,0,0
IGHV3-73,0,0,0,0,0,0,0,0,0,1,0
IGHV3-74,3,1,0,0,0,0,0,0,0,0,0
IGHV3OR15-7,1,0,2,0,8,0,1,0,0,0,0
IGHV3OR16-10,0,0,0,0,1,0,1,0,2,3,0
IGHV3OR16-12,3,2,5,1,7,2,6,4,3,0,2
IGHV3OR16-13,0,0,0,0,3,0,0,0,1,0,0
IGHV4-28,25,10,25,0,43,0,22,10,15,19,0
IGHV4OR15-8,1,0,0,0,1,0,2,0,0,0,0
IGHV5-10-1,5,3,5,5,0,2,10,1,3,0,2
IGHV5-51,0,0,0,0,0,0,1,0,0,0,0
IGHV6-1,4,3,0,4,30,0,0,0,27,7,0
IGHV7-4-1,5,0,3,6,5,3,0,1,11,2,0
IGKC,476,619,721,426,544,355,663,360,679,647,326
IGKV1-12,3,0,0,0,10,0,0,0,1,0,0
IGKV1-16,0,0,0,3,4,0,0,1,2,1,0
IGKV1-17,0,3,0,2,2,0,0,1,0,3,0
IGKV1-27,0,0,0,0,0,0,0,0,1,0,0
IGKV1-37,1,0,0,0,2,0,0,0,0,0,0
IGKV1-5,18,15,24,5,23,14,15,16,34,22,4
IGKV1-6,1,0,0,0,0,0,0,0,1,0,0
IGKV1D-13,0,0,0,0,6,0,0,0,0,0,0
IGKV1D-16,0,0,0,0,1,0,0,0,0,0,0
IGKV1D-33,84,91,36,47,138,0,34,58,92,105,18
IGKV1OR2-108,0,0,0,0,1,0,0,0,0,0,0
IGKV2-24,2,3,9,3,7,5,12,5,3,10,5
IGKV2-29,0,0,0,0,0,1,0,0,0,0,0
IGKV2-30,1,1,2,1,2,1,1,0,6,1,4
IGKV2D-28,13,34,22,34,54,27,47,27,61,32,26
IGKV2D-29,0,0,0,0,0,0,0,0,1,0,0
IGKV2D-30,2,0,0,0,0,0,0,0,0,0,0
IGKV3-15,0,8,14,0,0,0,0,0,0,8,0
IGKV3-20,94,47,98,62,142,42,109,43,123,122,55
IGKV3-7,1,2,0,0,1,0,1,0,4,3,1
IGKV3D-11,0,0,6,0,4,0,4,0,2,0,0
IGKV3D-20,3,0,6,0,1,0,2,0,1,3,0
IGKV4-1,16,29,38,7,34,15,31,15,36,31,8
IGLC3,412,325,369,311,488,194,326,320,372,357,152
IGLC6,1,0,0,0,0,0,0,0,1,0,0
IGLC7,1,15,2,4,6,4,4,8,5,6,0
IGLL1,23,20,30,22,50,4,16,54,21,32,0
IGLV1-47,25,19,36,0,50,5,20,9,45,34,0
IGLV1-51,6,9,13,0,34,5,9,10,9,9,0
IGLV10-54,8,0,0,0,21,0,0,0,9,10,0
IGLV2-11,18,0,5,0,18,0,3,16,7,4,0
IGLV2-18,0,0,0,3,0,0,0,0,0,0,0
IGLV2-8,0,0,2,0,0,0,0,0,0,0,0
IGLV3-10,18,5,17,12,28,2,8,12,17,23,0
IGLV3-12,0,1,0,0,0,0,0,0,0,0,0
IGLV3-19,5,6,5,6,6,0,6,6,7,6,0
IGLV3-21,39,7,30,0,14,4,22,2,0,0,0
IGLV3-27,7,4,15,0,17,0,0,5,6,12,0
IGLV3-9,3,0,1,0,3,0,0,0,0,0,0
IGLV4-69,0,0,0,0,5,0,0,0,0,0,0
IGLV5-45,0,0,5,0,0,0,0,0,4,0,0
IGLV7-46,0,0,0,0,4,0,2,0,0,4,0
IL18,0,0,2,0,0,0,0,0,0,0,0
IL1RN,0,19,52,2,9,9,5,0,0,23,9
IL36A,0,0,12,0,0,0,4,0,0,3,4
INVS,0,0,0,0,0,0,0,0,5,0,0
IQGAP1,0,0,106,0,0,14,25,0,0,0,14
IQGAP2,0,0,1,0,0,0,1,0,0,0,0
ITGAM,0,16,59,0,4,10,88,12,0,0,21
ITGB2,8,4,157,0,12,20,113,6,0,0,28
ITIH2,0,0,11,0,0,0,0,0,0,0,0
ITIH4,0,0,3,0,0,0,0,0,0,0,0
IVL,0,13,23,0,7,27,78,0,0,13,52
